state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.856911087573444,38.856911087573444,3.4435750397803706,11.85820905459838,39.04996781638851,8.4271
AL,Senate,38.856911087573444,38.856911087573444,3.4435750397803706,11.85820905459838,39.04996781638851,8.4123
AK,Senate,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.53719837809638,43.7782
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.53719837809638,43.7661
AZ,Senate,41.38652082164871,53.015885761719225,3.6979901291693746,13.67513099543413,51.200104459243654,54.7051
AZ,Governor,41.38652082164871,49.8754043404281,3.8504130452628123,14.825680619130043,48.541905198019485,44.3674
AR,Governor,36.5803502611594,32.55813953488372,3.1101606546618137,9.6730992978064,36.64604572982708,11.7982
AR,Senate,36.5803502611594,36.5803502611594,3.871374799505338,14.987542838244995,36.77340698997447,12.5455
CA,Governor,62.586872455790065,62.586872455790065,3.1657890566840363,10.022220351420401,62.77992918460513,95.5098
CA,Senate,62.586872455790065,62.586872455790065,3.1657890566840363,10.022220351420401,62.77992918460513,95.4867
CO,Senate,54.268120302384304,53.94676060986604,4.449367352316436,19.796869835859372,54.02794280492211,66.0638
CO,Governor,54.268120302384304,53.28980583375272,3.6664065047394634,13.442536657995849,53.53537478499596,64.7454
CT,Governor,58.526242019500806,55.74009378195114,2.122434163321465,4.504726777634088,58.45103036711089,62.6584
CT,Senate,58.526242019500806,58.526242019500806,3.2832842284033017,10.779955324481865,58.71929874831587,62.9652
FL,Senate,48.53526438955828,49.18716482812955,4.3069599078655205,18.549903647960974,49.13556807759339,45.0117
FL,Governor,48.53526438955828,47.15548747548667,4.120107853709297,16.975288726197032,47.338813009721335,34.7575
GA,Senate,41.97169174882852,50.28762793380386,3.8362627123412376,14.716911598099749,48.74622185157854,42.3175
GA,Governor,41.97169174882852,47.7502461739986,3.571842191763952,12.758056642865114,46.903811077052616,30.9848
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.36515967872245,99.9469
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.36515967872245,99.9466
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390578,34.549821508463516,1.5535
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390578,34.549821508463516,1.5887
IL,Senate,57.926424852004544,56.0880829015544,2.2247543158064422,4.9495317656993905,58.05810433764124,86.6056
IL,Governor,57.926424852004544,56.350272275576515,3.8167709747179646,14.56774067344952,56.95712312878084,81.0037
IN,Senate,42.42633551137972,48.275862068965516,3.6024446533813657,12.977607480675989,46.25827005641984,48.2265
IA,Senate,45.49003365482535,45.95111257208826,3.6189450967405974,13.096763613222812,45.751633657587206,28.5601
IA,Governor,45.49003365482535,40.937833254745385,3.581969598248505,12.830506202776554,45.116589152366174,25.7041
KS,Governor,43.255565338511026,47.77782909559082,3.0980483037122832,9.597903292134555,43.83845404414068,15.6216
KS,Senate,43.255565338511026,43.255565338511026,3.3957206315195028,11.53091860732721,43.44862206732609,14.6977
KY,Senate,38.46817941987608,41.48936170212766,3.2563742300853606,10.603973126364025,38.74668591864719,46.5492
LA,Senate,20.825071691209317,20.825071691209317,3.609205374536657,13.02636343558429,21.018128420024382,0.0003
ME,Governor,47.50684461591846,52.17304907425252,2.713742808443872,7.364400030380834,48.233917442831505,39.3952
MD,Senate,59.60060257679597,43.02325581395349,3.22727473828502,10.415302236372646,59.286953682626624,93.6431
MD,Governor,59.60060257679597,59.60060257679597,3.6143760945454413,13.063714552821557,59.79365930561104,94.0439
MA,Governor,63.42754700682979,63.42754700682979,3.2199904360077674,10.368338407981492,63.620603735644856,66.2334
MI,Governor,52.09968939110665,55.67692141277366,4.491149988033025,20.170428215009043,55.14917592106001,71.8514
MN,Governor,54.65445805866372,59.7821285997839,4.41739514807288,19.513379894217824,58.7476248136915,83.2548
MO,Senate,43.48693780265842,43.9560439560448,3.70460016989228,13.724062418765909,43.85950834215558,44.1665
NE,Governor,37.204872788557424,37.204872788557424,4.258347320514128,18.13352190212985,37.39792951737249,3.3782
NV,Senate,50.11676011924624,51.270853628838154,4.467489028014441,19.958458215429417,51.080414246190585,55.9403
NV,Governor,50.11676011924624,50.34406715121397,4.417428107183745,19.51367108213696,50.33709064537577,51.906
NH,Senate,50.290426774892985,55.056081794519244,2.838310412922713,8.056006000105501,51.16096125644481,55.2283
NH,Governor,50.290426774892985,38.46339950377406,4.17920152053852,17.465725349271473,42.50911905765835,21.2058
NM,Governor,56.00332001977625,53.646317162948435,3.8968321168722975,15.18530054708743,54.48887947808993,66.8625
NY,Senate,65.32933917622134,62.90087066566817,4.318676310431735,18.650965074284265,63.450453244694025,96.0534
NY,Governor,65.32933917622134,59.49825205442144,4.628898908963732,21.426705109405628,60.44894725162932,90.8872
NC,Senate,49.56821954323046,49.47093625349943,4.614823145801223,21.296592667022697,49.51594894198528,48.07
