state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Senate,38.85691108757344,32.50591016548463,4.946617598047616,24.46902566131436,34.77123272884414,3.6927
AL,Governor,38.85691108757344,29.83490566037736,4.9074452733733125,24.083019111154066,33.052942110332296,2.1736
AK,Senate,42.34414164928131,60.6661609189213,6.7385279984531845,45.40775958593749,59.124682305665964,79.9472
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.34414164928131,15.5661
AZ,Senate,41.38652082164871,51.294619111853535,4.240984348622236,17.98594824525877,50.644208502115745,53.0152
AZ,Governor,41.38652082164871,48.8200477695726,3.643422803701377,13.274529726531204,48.33147414023283,41.8782
AR,Senate,36.5803502611594,34.5285993671041,5.7056855759607,32.554847891725984,34.96301053285867,5.6674
AR,Governor,36.5803502611594,40.55727108653151,4.824794921647127,23.278646035951912,39.739510789926065,11.6983
CA,Senate,62.58687245579007,63.0,inf,inf,62.852642574150934,24.9957
CA,Governor,62.58687245579007,61.26262174928654,3.533793035763986,12.487693219614052,61.4164926713438,94.975
CO,Senate,54.268120302384304,54.74765721890411,4.296572838222843,18.460538154154303,54.693422206852254,71.2376
CO,Governor,54.268120302384304,56.31198281354951,3.939216742056881,15.517428540901232,56.07878188019894,77.6705
CT,Senate,58.526242019500806,59.19349202241837,4.58863966619744,21.055613986200555,59.10519128206078,86.1458
CT,Governor,58.526242019500806,61.103152373757474,4.7001492015074815,22.091402516431412,60.76635698754144,89.9564
FL,Senate,48.53526438955828,46.26776274305125,4.034673000099278,16.278586217730105,46.45986499237415,33.4203
FL,Governor,48.53526438955828,44.43378047676216,3.604819420836768,12.99472305684193,44.7603520981687,25.1327
GA,Senate,41.97169174882852,50.28577303654627,4.321785272549441,18.67782794202525,49.76554633492838,48.8993
GA,Governor,41.97169174882852,46.335795372644064,3.432811154879352,11.78419242506411,46.05001569200826,30.8873
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9778
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9802
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,1.9845
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,2.0397
IL,Senate,57.926424852004544,58.38389535112726,4.982891156921185,24.829204281723342,58.323355847811165,82.6419
IL,Governor,57.926424852004544,58.516371897735056,4.787873004172271,22.9237279040816,58.43894954735594,83.561
IN,Senate,42.42633551137972,48.275862068965516,2.6172439738939755,6.849966018884329,42.60307472937169,13.2962
IA,Senate,45.49003365482535,45.12708075967645,4.017715874895093,16.142040851384046,45.16435104791887,27.6812
IA,Governor,45.49003365482535,40.98537443588783,4.231375252765639,17.90453652971747,41.50242888862672,14.6243
KS,Senate,43.25556533851103,38.165635776248266,4.704832847934989,22.135452127008055,39.91151631647336,11.7388
KS,Governor,43.25556533851103,52.5454261728233,3.8717418258109633,14.99038476573401,49.5310543431532,47.8348
KY,Senate,38.46817941987608,41.48936170212766,3.2592512044821667,10.622718413918454,38.559462259387914,4.1631
LA,Senate,20.82507169120932,36.28225457597397,5.2286269123327225,27.338539388370023,30.980335467841158,1.4863
ME,Governor,47.50684461591846,54.428494574433074,4.295299452257141,18.449597384560494,53.04443930979466,64.0722
MD,Governor,59.60060257679597,68.22384144294344,4.750070171951996,22.563166638468065,65.20825950883982,96.7288
MD,Senate,59.60060257679597,59.60060257679597,3.614376094545441,13.063714552821557,59.60060257679597,90.9155
MA,Governor,63.42754700682979,65.24969182465411,4.948057448015255,24.483272508859237,65.00855771337781,96.055
MI,Governor,52.09968939110665,52.75374440789543,3.816798697283245,14.567952295583073,52.711636411079844,62.9585
MN,Governor,54.65445805866372,55.64820440092928,5.002636178071969,25.026368730154516,55.51988894985996,72.9832
MO,Senate,43.48693780265842,44.25125091588675,4.173707454093233,17.41983391235341,44.15094544257356,23.797
NE,Governor,37.204872788557424,46.06741573033708,3.4111241936088086,11.635768264223346,37.47264811935221,2.9817
NV,Senate,50.11676011924624,49.037940344194745,4.659563515900035,21.71153215870669,49.11387832716106,46.069
NV,Governor,50.11676011924624,48.51936017978968,4.793104433255309,22.9738501080917,48.6367293742426,43.8791
NH,Senate,50.290426774892985,51.69750734424806,3.9747497287660383,15.798635406325694,51.57655905158762,57.609
NH,Governor,50.290426774892985,40.753120919346955,4.510129749213724,20.341270354742647,41.616524372180386,15.7911
NM,Governor,56.00332001977625,53.0051057000569,4.500462823679655,20.25416562732265,53.346187122476564,65.221
NY,Senate,65.32933917622134,58.91152056468499,4.492016524354937,20.178212455077805,59.44430046994564,87.3347
NY,Governor,65.32933917622134,53.61434002604629,3.946506343709795,15.574912320941657,54.49451913844885,71.0041
NC,Senate,49.56821954323046,48.29238227960059,4.164163051223624,17.34025391717604,48.39360165850072,42.5109
ND,Senate,26.86014703279988,26.86014703279988,4.537650234611419,20.590269651669068,26.86014703279988,0.1241
OH,Senate,45.37027389356207,48.07858441841141,4.344709876447313,18.876503910498823,47.90063414857438,40.2545
OH,Governor,45.37027389356207,39.476678612768815,4.400866201601749,19.36762332440061,39.86415980648156,10.6682
OK,Governor,32.93398111723862,47.41080059679582,4.871843174315376,23.73485591512332,45.773490825851795,31.7479
OK,Senate,32.93398111723862,39.72622512302611,4.69756865668386,22.0671512842586,38.6607153855829,8.82
OK2,Senate,32.93398111723862,41.81945624771723,4.3909127936432855,19.28011516138028,40.42557813243347,12.0665
OR,Senate,57.60816808687109,59.13085325211378,4.945627973180695,24.459236049107396,58.88760485788432,84.3879
OR,Governor,57.60816808687109,50.852550870482894,5.926499279019388,35.12339370421733,51.469739286968725,55.927
PA,Senate,52.82642047516033,50.50695945212846,4.367997532957042,19.07940244791881,50.65903222862948,53.0259
