state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,38.85691108757344,3.3049
AL,Senate,38.85691108757344,38.85691108757344,3.4435750397803706,11.85820905459838,39.042431279753025,3.541
AK,Senate,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.5296618414609,15.6879
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.34414164928131,15.0904
AZ,Senate,41.38652082164871,54.531851060478864,4.750298217913817,22.56533315911518,53.2679700628093,65.84
AZ,Governor,41.38652082164871,51.367451044379074,4.399525722376609,19.35582658185342,50.31107192419569,51.6092
AR,Senate,36.5803502611594,41.21621621621621,4.627978184508368,21.41818207628537,39.62883356660365,9.3083
AR,Governor,36.5803502611594,39.615475468247766,3.998716980023592,15.989737486328996,38.97285735937183,5.9235
CA,Governor,62.58687245579007,65.1685393258427,3.2192446282040383,10.363535976220556,64.24769105585308,99.4559
CA,Senate,62.58687245579007,62.58687245579008,3.1657890566840363,10.0222203514204,62.77239264796966,98.8656
CO,Senate,54.268120302384304,53.94676060986604,4.449367352316436,19.79686983585937,54.02675343272905,70.1741
CO,Governor,54.268120302384304,53.28980583375272,3.666406504739464,13.442536657995849,53.494901928459186,69.6307
CT,Senate,58.526242019500806,57.4793875147232,3.6604951019902745,13.399224391694789,57.9189601493013,86.2548
CT,Governor,58.526242019500806,55.810769856484654,3.7015301757971897,13.701325642337174,56.72474340508907,81.8601
FL,Senate,48.53526438955828,48.25407134569034,4.311914285543454,18.59260480587371,48.30640384090877,40.0699
FL,Governor,48.53526438955828,46.61599374324588,4.064728277090804,16.522015966581577,46.8186377655797,31.0702
GA,Senate,41.97169174882852,51.64875846394881,3.856506330546927,14.872641077548522,50.58143870400963,53.9533
GA,Governor,41.97169174882852,48.14299917376657,3.4775756510218154,12.093532408579804,47.504996650877416,32.5991
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.17210294990738,99.9978
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.35762314208696,99.9964
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.35676477964845,1.0165
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390574,34.54228497182804,1.1038
IL,Senate,57.926424852004544,56.0880829015544,2.2247543158064422,4.949531765699391,58.050795512014204,95.6157
