state_po,office,BPI,weighted_polls,weighted_sd,weighted_var,lean,dem_wins
AL,Governor,38.856911087573444,38.856911087573444,3.4435750397803706,11.85820905459838,39.05073203844438,8.3985
AL,Senate,38.856911087573444,38.856911087573444,3.4435750397803706,11.85820905459838,39.05073203844438,8.3888
AK,Senate,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.53796260015225,43.7285
AK,Governor,42.34414164928131,42.34414164928131,3.662409694796975,13.41324477254287,42.53796260015225,43.7517
AZ,Senate,41.38652082164871,53.13989726316054,4.200729993800569,17.646132480815726,52.179228786768356,58.2554
AZ,Governor,41.38652082164871,49.991782453838155,3.9300460732479143,15.445262137851351,49.260457156886346,47.1776
AR,Senate,36.5803502611594,41.21621621621622,4.627978184508368,21.41818207628537,39.63179434336738,18.9285
AR,Governor,36.5803502611594,38.40794997480911,3.942670657697096,15.544651915065652,38.14695441929728,15.1137
CA,Governor,62.586872455790065,63.22584845366581,3.9122461194439597,15.305669699104323,63.13064509528841,95.1714
CA,Senate,62.586872455790065,62.586872455790065,3.1657890566840363,10.022220351420401,62.780693406661,95.4929
CO,Senate,54.268120302384304,54.28883275169832,4.222379403941507,17.828487830829438,54.32376667216022,67.3396
CO,Governor,54.268120302384304,56.23660624136817,3.83653743082242,14.719019458101492,55.87168809721107,73.2234
CT,Senate,58.526242019500806,58.278313495659376,3.3163440666429933,10.998137968358186,58.37278851922036,62.5407
CT,Governor,58.526242019500806,57.64337455892965,3.242780733122553,10.515626883110842,57.866905197835116,61.8531
FL,Senate,48.53526438955828,47.94238852627325,4.484315564750698,20.109086084265375,48.01703278090104,38.9128
FL,Governor,48.53526438955828,46.41310096149234,4.10898726995787,16.883776384675834,46.63768337466453,31.0416
GA,Senate,41.97169174882852,52.452143366468775,4.2911793560360465,18.41422026566994,51.60632648697728,59.4669
GA,Governor,41.97169174882852,47.427327100110766,3.5906459157484334,12.892738092280906,47.00874721212686,31.6413
HI,Governor,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.36592390077831,99.9443
HI,Senate,69.17210294990738,69.17210294990738,3.000499635207481,9.002998060880227,69.36592390077831,99.9477
ID,Governor,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390578,34.55058573051939,1.5681
ID,Senate,34.35676477964845,34.35676477964845,4.286929328014468,18.377763063390578,34.55058573051939,1.5539
IL,Senate,57.926424852004544,61.53811595338949,3.9522832989087724,15.620543274833208,60.342872769362195,90.2666
IL,Governor,57.926424852004544,58.0603333331569,3.736726831122105,13.963127410427846,58.080498670625694,84.7643
IN,Senate,42.42633551137972,48.275862068965516,2.6054745734198614,6.78849775273741,42.791039520269656,46.4299
IA,Senate,45.49003365482535,43.68866279925335,4.336196061494125,18.802596283717158,43.992716116237204,22.2766
